split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
lopo__seed-42__fold-38,lopo,42,38,xgb_all_unweighted,0.8641474843025208,0.19508837163448334,0.8641474843025208,0.8641474843025208
lopo__seed-42__fold-39,lopo,42,39,xgb_all_unweighted,0.6660232543945312,0.19680088758468628,0.8922932744026184,0.8922932744026184
lopo__seed-42__fold-40,lopo,42,40,xgb_all_unweighted,0.9656890034675598,0.03180839493870735,0.9656890034675598,0.9656890034675598
lopo__seed-42__fold-41,lopo,42,41,xgb_all_unweighted,0.7030892968177795,0.038910165429115295,0.9112808108329773,0.9112808108329773
lopo__seed-42__fold-42,lopo,42,42,xgb_all_unweighted,0.7689037919044495,0.06559007614850998,0.9571153521537781,0.9571153521537781
lopo__seed-42__fold-43,lopo,42,43,xgb_all_unweighted,0.8903242349624634,0.06797927618026733,0.9018892645835876,0.9018892645835876
lopo__seed-42__fold-44,lopo,42,44,xgb_all_unweighted,0.807417094707489,0.4260907471179962,0.8602263331413269,0.8602263331413269
lopo__seed-42__fold-45,lopo,42,45,xgb_all_unweighted,0.9464755654335022,0.017219917848706245,0.9560874700546265,0.9560874700546265
lopo__seed-42__fold-46,lopo,42,46,xgb_all_unweighted,0.7801028490066528,0.0532754547894001,0.7916035652160645,0.7916035652160645
lopo__seed-42__fold-47,lopo,42,47,xgb_all_unweighted,0.9368917346000671,0.31117352843284607,0.9368917346000671,0.9368917346000671
lopo__seed-42__fold-48,lopo,42,48,xgb_all_unweighted,0.8684794902801514,0.2578808069229126,0.8684794902801514,0.8684794902801514
lopo__seed-42__fold-49,lopo,42,49,xgb_all_unweighted,0.8358707427978516,0.004306240007281303,0.9590370655059814,0.9590370655059814
lopo__seed-42__fold-50,lopo,42,50,xgb_all_unweighted,0.9192946553230286,0.04053537920117378,0.9639378190040588,0.9639378190040588
lopo__seed-42__fold-51,lopo,42,51,xgb_all_unweighted,0.9477982521057129,0.0060576628893613815,0.9477982521057129,0.9477982521057129
lopo__seed-42__fold-52,lopo,42,52,xgb_all_unweighted,0.887558102607727,0.027128519490361214,0.9696374535560608,0.9696374535560608
lopo__seed-42__fold-53,lopo,42,53,xgb_all_unweighted,0.8644110560417175,0.06568969786167145,0.9629723429679871,0.9629723429679871
lopo__seed-42__fold-54,lopo,42,54,xgb_all_unweighted,0.7842563390731812,0.24573659896850586,0.8316540122032166,0.8316540122032166
lopo__seed-42__fold-55,lopo,42,55,xgb_all_unweighted,0.8915291428565979,0.01066972129046917,0.9199596643447876,0.9199596643447876
lopo__seed-42__fold-56,lopo,42,56,xgb_all_unweighted,0.9009039998054504,0.008302249945700169,0.9009039998054504,0.9009039998054504
lopo__seed-42__fold-57,lopo,42,57,xgb_all_unweighted,0.7303757667541504,0.2029431313276291,0.9368018507957458,0.9368018507957458
lopo__seed-42__fold-58,lopo,42,58,xgb_all_unweighted,0.8836002945899963,0.1286603957414627,0.8863281011581421,0.8863281011581421
lopo__seed-42__fold-59,lopo,42,59,xgb_all_unweighted,0.9116684794425964,0.2003689557313919,0.9116684794425964,0.9116684794425964
lopo__seed-42__fold-60,lopo,42,60,xgb_all_unweighted,0.9039726853370667,0.1372370719909668,0.9039726853370667,0.9039726853370667
lopo__seed-42__fold-61,lopo,42,61,xgb_all_unweighted,0.7579164505004883,0.061718858778476715,0.9066201448440552,0.9066201448440552
lopo__seed-42__fold-62,lopo,42,62,xgb_all_unweighted,0.8251652121543884,0.12812122702598572,0.9377010464668274,0.9377010464668274
lopo__seed-42__fold-63,lopo,42,63,xgb_all_unweighted,0.906832218170166,0.03501348942518234,0.906832218170166,0.906832218170166
lopo__seed-42__fold-64,lopo,42,64,xgb_all_unweighted,0.8842179775238037,0.14969903230667114,0.8842179775238037,0.8842179775238037
lopo__seed-42__fold-65,lopo,42,65,xgb_all_unweighted,0.7883013486862183,0.11075393110513687,0.8259149193763733,0.8259149193763733
lopo__seed-42__fold-66,lopo,42,66,xgb_all_unweighted,0.9239469766616821,0.01385100744664669,0.9239469766616821,0.9239469766616821
lopo__seed-42__fold-67,lopo,42,67,xgb_all_unweighted,0.8241366147994995,0.029732368886470795,0.9094333648681641,0.9094333648681641
lopo__seed-42__fold-68,lopo,42,68,xgb_all_unweighted,0.7589747309684753,0.2719747722148895,0.8338566422462463,0.8338566422462463
lopo__seed-42__fold-69,lopo,42,69,xgb_all_unweighted,0.8502021431922913,0.08178551495075226,0.9288512468338013,0.9288512468338013
lopo__seed-42__fold-70,lopo,42,70,xgb_all_unweighted,0.8221846222877502,0.12637022137641907,0.8583565950393677,0.8583565950393677
lopo__seed-42__fold-71,lopo,42,71,xgb_all_unweighted,0.8555762767791748,0.04331791400909424,0.8652901649475098,0.8652901649475098
lopo__seed-42__fold-72,lopo,42,72,xgb_all_unweighted,0.7792580127716064,0.07887646555900574,0.8201960921287537,0.8201960921287537
lopo__seed-42__fold-73,lopo,42,73,xgb_all_unweighted,0.8904829621315002,0.008615393191576004,0.9605128169059753,0.9605128169059753
lopo__seed-42__fold-74,lopo,42,74,xgb_all_unweighted,0.8223190903663635,0.028592566028237343,0.9217868447303772,0.9217868447303772
lopo__seed-42__fold-75,lopo,42,75,xgb_all_unweighted,0.844610333442688,0.0029224324971437454,0.9561415910720825,0.9561415910720825
lopo__seed-42__fold-76,lopo,42,76,xgb_all_unweighted,0.8185703754425049,0.25481078028678894,0.8572710156440735,0.8572710156440735
lopo__seed-42__fold-77,lopo,42,77,xgb_all_unweighted,0.6564821004867554,0.06427240371704102,0.8398367762565613,0.8398367762565613
lopo__seed-42__fold-78,lopo,42,78,xgb_all_unweighted,0.8424010872840881,0.4131304919719696,0.925308883190155,0.925308883190155
lopo__seed-42__fold-79,lopo,42,79,xgb_all_unweighted,0.8033458590507507,0.06482239812612534,0.9354742169380188,0.9354742169380188
lopo__seed-42__fold-80,lopo,42,80,xgb_all_unweighted,0.8228484988212585,0.10882976651191711,0.9300307631492615,0.9300307631492615
lopo__seed-42__fold-81,lopo,42,81,xgb_all_unweighted,0.834282398223877,0.0648304745554924,0.8928847908973694,0.8928847908973694
lopo__seed-42__fold-82,lopo,42,82,xgb_all_unweighted,0.7570621967315674,0.05829184502363205,0.8189608454704285,0.8189608454704285
lopo__seed-42__fold-83,lopo,42,83,xgb_all_unweighted,0.8727796077728271,0.27704787254333496,0.8727796077728271,0.8727796077728271
lopo__seed-42__fold-84,lopo,42,84,xgb_all_unweighted,0.8011775016784668,0.2719316780567169,0.8011775016784668,0.8011775016784668
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,xgb_physics_unweighted,0.7754654288291931,0.34526658058166504,0.7838472127914429,0.7838472127914429
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,xgb_physics_unweighted,0.8133745193481445,0.3935016393661499,0.8527365326881409,0.8527365326881409
