method,seed,fold,n_test,n_test_papers,roc_auc,pr_auc,mcc,f1,balanced_accuracy,youden_j_balacc,thr_mcc,thr_f1,thr_balacc,thr_youden
mlp,0,3,856,15,0.5977403061030724,0.8385261342073047,0.13332066988248695,0.856760374832664,0.5770270783487144,0.5770270783487144,0.9974664652305713,3.0160455735310653e-09,0.9974664652305713,0.9974664652305713
mlp,0,4,857,20,0.6730842663163843,0.8433431063801731,0.25791759429532934,0.809076682316119,0.641478669945472,0.641478669945472,0.8733534118308198,0.750819359641634,0.9427012646954426,0.9427012646954426
mlp,1,0,871,16,0.5197948578463653,0.725224689553196,0.1323901289750741,0.7920792079207921,0.5708942938128095,0.5708942938128095,0.994330049944385,0.7247823385783597,0.994330049944385,0.994330049944385
mlp,1,1,861,20,0.5152469362995679,0.7193658991979244,0.01759039598234591,0.842741935483871,0.5055412423833476,0.5055412423833476,0.6992748617238174,9.245005993553583e-10,0.8570546332614503,0.8570546332614503
mlp,1,2,858,18,0.6537257684981137,0.8490440565942593,0.16825794618853765,0.7965705378020265,0.5920404885518993,0.5920404885518993,0.7862462434273918,0.09341277476035387,0.8483945899554276,0.8483945899554276
mlp,1,3,979,13,0.6021469989029933,0.8003165456042916,0.09851046095468932,0.8197709463532248,0.5524369221125216,0.5524369221125216,0.8952094012094707,3.630879553365303e-08,0.8952094012094707,0.8952094012094707
mlp,1,4,874,18,0.6403443113772453,0.834224479892427,0.22000769670786674,0.8435951875442321,0.6053209115749085,0.6053209115749085,0.9581897379108146,0.0025293521762389634,0.9929888613573423,0.9929888613573423
mlp,2,0,882,17,0.5288083538083538,0.7173609658353378,0.1883384425926132,0.8549019607843137,0.6037469287469288,0.6037469287469288,0.9703696870296216,5.67539125344429e-05,0.9703696870296216,0.9703696870296216
mlp,2,1,852,21,0.5635850585510322,0.7634992563337081,0.14812526295262377,0.8509777478084963,0.5831331435414591,0.5831331435414591,0.9870537250706746,1.3319281352709534e-09,0.9870537250706746,0.9870537250706746
mlp,2,2,977,11,0.684844674943685,0.8543409230265263,0.2694463683864353,0.8411659726353361,0.6506312536015506,0.6506312536015506,0.9872906621388019,2.9576782396553746e-07,0.9872906621388019,0.9872906621388019
mlp,2,3,860,15,0.6317347671811394,0.8267808647816794,0.18335020348907416,0.8586595885865959,0.5845977461886207,0.5845977461886207,0.9998967657433472,2.5144619645065048e-14,0.9992504837690598,0.9992504837690598
mlp,2,4,872,21,0.554318571079031,0.7793355904747757,0.1527121923521724,0.8053491827637445,0.5850405202007845,0.5850405202007845,0.9337932798236219,0.25150961540330746,0.9337932798236219,0.9337932798236219
svm,0,0,863,17,0.609256550073148,0.8425553266994898,0.11513456033890598,0.8607935440484197,0.559379202317093,0.559379202317093,0.379537336586562,0.379537336586562,0.9416985176763876,0.9416985176763876
svm,0,1,861,20,0.48771793508635614,0.7602024237684756,0.03506669737942462,0.842741935483871,0.497546313335787,0.497546313335787,0.955400478749757,0.446414143845954,0.9536339333851084,0.9536339333851084
svm,0,2,1006,13,0.584677712463594,0.7802984684281205,0.05152840091814255,0.8367707719505009,0.5469680595872122,0.5469680595872122,0.7473692127292831,0.3802963123118771,0.8699544025595719,0.8699544025595719
svm,0,3,856,15,0.5939728836732369,0.852996133701351,0.2007267345531148,0.8669755129053607,0.5860354714974745,0.5860354714974745,0.9300497037369693,0.3230423065059461,0.9300497037369693,0.9300497037369693
svm,0,4,857,20,0.683806570848162,0.8579222240379689,0.24871423923030053,0.8678996036988111,0.6382596874952269,0.6382596874952269,0.9294345332181244,0.5062515182047727,0.9294345332181244,0.9294345332181244
svm,1,0,871,16,0.6128031322472585,0.8423865814747142,0.12354872910936336,0.8605263157894737,0.5697275746557104,0.5697275746557104,0.9338439958741785,0.32979523275138944,0.9233019388745743,0.9233019388745743
svm,1,1,861,20,0.4924753608964135,0.7660542426646542,0.11166576275056662,0.842741935483871,0.5167770825665563,0.5167770825665563,0.9647505975716871,0.3664942285083554,0.9536766676864901,0.9536766676864901
svm,1,2,858,18,0.6402121540357824,0.8496723612243959,0.08043684247116561,0.8639455782312925,0.5467822059537594,0.5467822059537594,0.8649440108246462,0.4532424351701039,0.8649440108246462,0.8649440108246462
svm,1,3,979,13,0.5283158334639293,0.7925132816283211,-0.0006688832925124479,0.840047393364929,0.49963171916627486,0.49963171916627486,0.8333090293509853,0.28306162423106573,0.8333090293509853,0.8333090293509853
svm,1,4,874,18,0.6479601476658334,0.8495369356023111,0.1527118308113142,0.8656716417910447,0.5646183361432475,0.5646183361432475,0.9272852520992264,0.3619652468322364,0.9272852520992264,0.9272852520992264
svm,2,0,882,17,0.6102102102102103,0.8329020103755984,0.15179101001887285,0.8504043126684636,0.5605855855855856,0.5605855855855856,0.48478287493131633,0.48478287493131633,0.8874378970254051,0.8874378970254051
svm,2,1,852,21,0.7053266021756746,0.8802621195192815,0.2645911010505813,0.8509777478084963,0.6304221554524528,0.6304221554524528,0.9436857422110473,0.3031039073242716,0.942156734704632,0.942156734704632
svm,2,2,977,11,0.5654120173922155,0.7966734546871096,0.10745875839915014,0.8396674584323041,0.5624993451726125,0.5624993451726125,0.918706734324527,0.2844539371468753,0.9128201302500051,0.9128201302500051
svm,2,3,860,15,0.538200869306514,0.7996165164868215,0.06508974104660503,0.8627450980392157,0.5292683457779133,0.5292683457779133,0.9094411023965867,0.378316546219815,0.9094411023965867,0.9094411023965867
svm,2,4,872,21,0.670852147607714,0.8603977649067522,0.14356502531797,0.8633093525179856,0.5651770951501806,0.5651770951501806,0.9417891751394333,0.4502775957939684,0.9106851497380883,0.9106851497380883
